      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student21-keys.tgz
     DEBUG | Extracted to sigai.student21-keys
     DEBUG | 	sigai.student21_id_rsa_1 -> sigai.student21.pem
     DEBUG | 	sigai.student21_passphrase_1.txt -> sigai.student21_pass.txt
     DEBUG | 	sigai.student21_id_rsa_1.pub -> sigai.student21.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student21.pem
     ERROR | Failed to write `sigai.student21.ppk`
     DEBUG | 		writing sigai.student21.pem.pub
     DEBUG | 		writing sigai.student21_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student14-keys.tgz
     DEBUG | Extracted to sigai.student14-keys
     DEBUG | 	sigai.student14_id_rsa_1.pub -> sigai.student14.pem.pub
     DEBUG | 	sigai.student14_id_rsa_1.ppk -> sigai.student14.ppk
     DEBUG | 	sigai.student14_passphrase_1.txt -> sigai.student14_pass.txt
     DEBUG | 	sigai.student14_id_rsa_1 -> sigai.student14.pem
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student14.pem
     DEBUG | 		writing sigai.student14.ppk
     DEBUG | 		writing sigai.student14.pem.pub
     DEBUG | 		writing sigai.student14_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student15-keys.tgz
     DEBUG | Extracted to sigai.student15-keys
     DEBUG | 	sigai.student15_id_rsa_1.pub -> sigai.student15.pem.pub
     DEBUG | 	sigai.student15_id_rsa_1.ppk -> sigai.student15.ppk
     DEBUG | 	sigai.student15_passphrase_1.txt -> sigai.student15_pass.txt
     DEBUG | 	sigai.student15_id_rsa_1 -> sigai.student15.pem
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student15.pem
     DEBUG | 		writing sigai.student15.ppk
     DEBUG | 		writing sigai.student15.pem.pub
     DEBUG | 		writing sigai.student15_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student7-keys.tgz
     DEBUG | Extracted to sigai.student7-keys
     DEBUG | 	sigai.student7_id_rsa_1.ppk -> sigai.student7.ppk
